rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,ord,currency,thstrm_add_amount,frmtrm_q_nm,frmtrm_q_amount,frmtrm_add_amount,ticker,corp_name,fs_div
20250515001982,11013,2025,00164788,BS,재무상태표,ifrs-full_Assets,자산총계,-,제 49 기 1분기말,68494788000000,제 48 기말,66596905000000,7,KRW,,,,,012330,현대모비스,CFS
20250515001982,11013,2025,00164788,BS,재무상태표,ifrs-full_CurrentAssets,유동자산,-,제 49 기 1분기말,29883501000000,제 48 기말,28424073000000,8,KRW,,,,,012330,현대모비스,CFS
20250515001982,11013,2025,00164788,BS,재무상태표,ifrs-full_CashAndCashEquivalents,현금및현금성자산,-,제 49 기 1분기말,4632606000000,제 48 기말,4788492000000,9,KRW,,,,,012330,현대모비스,CFS
20250515001982,11013,2025,00164788,BS,재무상태표,ifrs-full_Inventories,재고자산,-,제 49 기 1분기말,6852801000000,제 48 기말,6762941000000,10,KRW,,,,,012330,현대모비스,CFS
20250515001982,11013,2025,00164788,BS,재무상태표,ifrs-full_NoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSale,매각예정비유동자산,-,제 49 기 1분기말,11030000000,제 48 기말,6441000000,11,KRW,,,,,012330,현대모비스,CFS
20250515001982,11013,2025,00164788,BS,재무상태표,ifrs-full_OtherCurrentAssets,기타유동자산,-,제 49 기 1분기말,741475000000,제 48 기말,730099000000,12,KRW,,,,,012330,현대모비스,CFS
20250515001982,11013,2025,00164788,BS,재무상태표,ifrs-full_OtherCurrentFinancialAssets,기타금융자산,-,제 49 기 1분기말,6060289000000,제 48 기말,5851738000000,13,KRW,,,,,012330,현대모비스,CFS
20250515001982,11013,2025,00164788,BS,재무상태표,ifrs-full_TradeAndOtherCurrentReceivables,매출채권및기타채권,-,제 49 기 1분기말,11585300000000,제 48 기말,10284362000000,14,KRW,,,,,012330,현대모비스,CFS
20250515001982,11013,2025,00164788,BS,재무상태표,ifrs-full_NoncurrentAssets,비유동자산,-,제 49 기 1분기말,38611287000000,제 48 기말,38172832000000,15,KRW,,,,,012330,현대모비스,CFS
20250515001982,11013,2025,00164788,BS,재무상태표,ifrs-full_DeferredTaxAssets,이연법인세자산,-,제 49 기 1분기말,223617000000,제 48 기말,233410000000,16,KRW,,,,,012330,현대모비스,CFS
